3,2,1443189344.6386
3,2,1443189345.4939
3,2,1443189346.0757
1,2,1443189346.0757
3,0,1443189348.0886
3,1,1443189348.6085
3,3,1443189349.1068
1,2,1443232513.9708
1,2,1443232514.8141
1,2,1443232515.3122
2,1,1443358520.4545
7,3,1443358523.2651
7,3,1443358523.4827
7,3,1443358523.7477
7,1,1443358525.9144
2,3,1443358562.5246
2,3,1443358564.2709
2,3,1443358564.4768
2,3,1443358564.6813
2,3,1443358564.8773
2,3,1443358565.0647
2,3,1443358565.2687
2,3,1443358565.4683
2,3,1443358565.664
2,3,1443358565.8754
7,2,1443358567.6477
7,3,1443358621.4888
2,3,1443358621.97
2,2,1443358623.6424
2,2,1443358623.921
2,3,1443358625.5035
