0,1443014519.0874
1,1443014535.2087
0,1443235885.4703
1,1443235900.6058
2,1443235920.8876
0,1443236000.302
0,1443236050.4922
1,1443236076.0926
2,1443236082.8547
0,1443236169.086
1,1443236177.5331
2,1443236184.6023
0,1443236272.5047
1,1443236281.6098
2,1443236293.0471
0,1443270173.1712
0,1443270184.2125
1,1443270274.5743
2,1443270309.4587
0,1443270347.0765
1,1443270502.4427
2,1443270513.5218
0,1443270621.4986
1,1443270668.1368
2,1443270703.1744
0,1443270736.57
0,1443270869.8272
0,1443270890.7966
0,1443271079.9538
0,1443271180.9969
1,1443271191.4444
2,1443271204.4246
0,1443358515.0114
1,1443358558.2805
2,1443358618.0905
0,1443359061.5193
1,1443359077.5272
2,1443359439.2939
0,1443359649.3996
0,1445137917.4164
1,1445137923.6094
0,1445138074.8791
1,1445138109.6245
2,1445138111.3599
0,1445147640.4931
1,1445147729.939
0,1445147793.0914
0,1445148191.4287
1,1445148215.0827
0,1445148285.947
1,1445148327.5886
2,1445148387.8599
0,1445148428.6515
1,1445148445.1237
2,1445148455.9721
0,1445148615.7405
0,1445148955.0841
0,1445149011.9397
0,1445149110.4847
0,1445149259.7242
0,1445149280.0612
0,1445151280.6115
1,1445151356.0975
0,1445151596.9635
1,1445151681.4446
2,1445151683.4684
0,1445152600.0214
1,1445152622.5905
